Customer id,Retailer_name,Retailer_industry,Num_stores,Avg monthly_revenue,Contract_value,Contract tenure_months,Platform_usage_hours,Support_tickets_opened,Data_integration_issues,churn
5cc43530-1d12-4dba-82ac-5d930d6bc1bd,"Murphy, Bell and Nguyen",Fashion,81,184890.08,20653,17,61,1,1,0
0e1e2a89-9bfe-4884-940f-1f33ac56ad70,Brown-Bailey,Home Goods,34,128046.35,5820,12,65,0,7,0
361a42ee-2f63-406e-94a8-d6d832a29f29,Moore-Hobbs,Fashion,18,118221.28,18495,10,63,0,9,0
27610bd4-f071-4fd7-9d87-590799150bdf,Campos-Mcclure,Electronics,7,105707.06,12023,11,71,3,7,0
9a3b3668-912c-400e-950a-0d2fb82b9624,Hughes-Mccarthy,Electronics,69,195979.61,15355,16,52,3,4,0
2fc99822-7b27-44a9-8a4f-0a8a1dd710d5,Gutierrez-Rivera,Food & Beverage,35,34280.34,16063,25,32,1,7,0
5a1575a5-fe23-472a-a977-3d262097dd76,Riggs-Summers,Home Goods,80,116498.85,41572,40,82,4,5,0
5c523308-0af7-41a8-b7f8-64b98cacc00a,White and Sons,Home Goods,58,95396.67,37581,8,51,0,0,0
b9741256-b033-4f8e-9844-ac34eb096223,Rose-Elliott,Home Goods,63,164817.69,23599,16,51,0,2,0
888dac24-6b28-456c-8337-75bbe552ac95,"Rogers, Carrillo and Doyle",Electronics,17,112442.64,39761,4,38,2,9,1
d5a6ca8e-79d8-4aec-a46e-6ea0ed31daa5,"George, Clark and Koch",Home Goods,70,46131.73,23956,10,57,3,8,0
5567d34e-ff7a-4c4f-9822-fa9cf5732270,Davis and Sons,Home Goods,67,118151.02,31106,26,18,4,1,0
6f0e3e49-5ed8-458f-a73d-fa194fa744d7,"Lara, Chase and Caldwell",Electronics,37,116611.65,25393,4,56,1,7,0
e09c6913-035d-490b-962a-914bca0d420a,Sullivan-Johnson,Home Goods,6,132468.11,39633,46,46,0,4,0
23dec01f-327a-4ce7-869a-e0815c3f1453,Sutton-Bruce,Electronics,94,32420.15,36129,42,43,4,7,0
a935a688-c23e-4e84-b677-b80f99c2edc0,"Stephens, Rodriguez and Watkins",Electronics,98,56254.05,25810,43,54,4,3,0
ea24fe55-eefd-488c-9f5f-213ed2ebb35c,Moore-Martin,Electronics,94,86887.5,30975,12,49,1,7,0
